EFF_DATE,NAV_ID,NAV_TYPE,STATE_CODE,CITY,COUNTRY_CODE,NAME,STATE_NAME,REGION_CODE,LAT_HEMIS,LAT_DEG,LAT_MIN,LAT_SEC,LAT_DECIMAL,LONG_HEMIS,LONG_DEG,LONG_MIN,LONG_SEC,LONG_DECIMAL,ELEV,MAG_VARN,MAG_VARN_HEMIS,MAG_VARN_YEAR,ALT_CODE
2026-01-22,MRB,VORTAC,WV,MARTINSBURG,US,MARTINSBURG,WEST VIRGINIA,AEA,N,39,23,8.06,39.38557222,W,77,50,54.082,-77.84835611,600,7,W,1965,L
2026-01-22,MRF,VOR/DME,TX,MARFA,US,MARFA,TEXAS,ASW,N,30,17,54.1409,30.29837247,W,103,57,17.1186,-103.95475516,4834,11,E,1965,VL
2026-01-22,MRI,VOT,AK,ANCHORAGE,US,ANCHORAGE,ALASKA,AAL,N,61,13,1.1796,61.21699433,W,149,50,39.5512,-149.84431977,136.7,NA,NA,NA,NA
2026-01-22,MRN,FAN MARKER,NC,MORGANTON,US,LENOIR,NORTH CAROLINA,ASO,N,35,47,45.568,35.79599111,W,81,37,28.546,-81.62459611,1120,3,W,1970,NA
2026-01-22,MS,NDB,NY,MASSENA,US,MISSE,NEW YORK,AEA,N,44,51,14.8249,44.85411802,W,74,54,56.7877,-74.91577436,244.6,14,W,1980,NA
2026-01-22,MSL,DME,AL,MUSCLE SHOALS,US,MUSCLE SHOALS,ALABAMA,ASO,N,34,42,24.7265,34.70686847,W,87,29,29.4618,-87.49151716,583.4,NA,NA,NA,NA
2026-01-22,MSN,VORTAC,WI,MADISON,US,MADISON,WISCONSIN,AGL,N,43,8,41.4057,43.14483491,W,89,20,22.9086,-89.33969683,856.5,3,E,1965,L
2026-01-22,MSO,VOR/DME,MT,MISSOULA,US,MISSOULA,MONTANA,ANM,N,46,54,28.6804,46.90796677,W,114,5,1.1482,-114.08365227,3202,13,E,2020,VL
2026-01-22,MSP,VOR/DME,MN,MINNEAPOLIS,US,MINNEAPOLIS,MINNESOTA,AGL,N,44,53,47.3958,44.89649883,W,93,14,11.5137,-93.23653158,831.6,2,E,2000,L
2026-01-22,MSP,VOT,MN,MINNEAPOLIS,US,MINNEAPOLIS ST PAUL,MINNESOTA,AGL,N,44,53,25,44.89027777,W,93,13,46,-93.22944444,840,NA,NA,NA,NA
2026-01-22,MSQ,NDB,VA,CULPEPER,US,NAILR,VIRGINIA,AEA,N,38,27,15.5666,38.45432405,W,77,54,19.0247,-77.90528463,289,10,W,2005,NA
2026-01-22,MSS,TACAN,NY,MASSENA,US,MASSENA,NEW YORK,AEA,N,44,54,51.9178,44.91442161,W,74,43,21.7848,-74.722718,197.5,14,W,1980,NA
